Key,Description,en,fr
av42cTheIsland:07_islandDefense_name,Name of a mission.,Island Defense,Defense de l'ile
av42cTheIsland:07_islandDefense_description,Description of a mission.,Begin to take back the island and eliminate the enemy fleet off the northern coast.,Commencez a reprendre l'ile et eliminez la flotte ennemie au large de la cote nord.
AV-42C:av42cTheIsland:07_islandDefense:obj_6:name,A mission objective name,AntiShip 2,Anti-navire 2
AV-42C:av42cTheIsland:07_islandDefense:obj_6:info,Mission objective info.,Destroy the incoming enemy carrier fleet.,Detruisez la flotte de porte-avions ennemie en approche.
AV-42C:av42cTheIsland:07_islandDefense:obj_4:name,A mission objective name,AntiShip,Anti-navire
AV-42C:av42cTheIsland:07_islandDefense:obj_4:info,Mission objective info.,Destroy the remaining enemy fleet.,Detruisez la flotte ennemie restante.
AV-42C:av42cTheIsland:07_islandDefense:obj_3:name,A mission objective name,Airbase,Base aerienne
AV-42C:av42cTheIsland:07_islandDefense:obj_3:info,Mission objective info.,Clear out the enemy units at the airbase.,Eliminez les unites ennemies a la base aerienne.
AV-42C:av42cTheIsland:07_islandDefense:obj_7:name,A mission objective name,SEAD,SEAD
AV-42C:av42cTheIsland:07_islandDefense:obj_7:info,Mission objective info.,Destroy the enemy SAM site to allow reinforcements to take off.,Detruisez le site de SAM ennemi pour permettre aux renforts de decoller.
AV-42C:av42cTheIsland:07_islandDefense:obj_8:name,A mission objective name,Launch,Lancer
AV-42C:av42cTheIsland:07_islandDefense:obj_8:info,Mission objective info.,,
AV-42C:av42cTheIsland:07_islandDefense:obj_9:name,A mission objective name,Regroup,Regrouper
AV-42C:av42cTheIsland:07_islandDefense:obj_9:info,Mission objective info.,"Rearm if necessary, then regroup with Victor 1.","Rearmez si necessaire, puis regroupez-vous avec Victor 1."
AV-42C:av42cTheIsland:07_islandDefense:obj_10:name,A mission objective name,RTB,RTB
AV-42C:av42cTheIsland:07_islandDefense:obj_10:info,Mission objective info.,Land at the airbase.,Atterrissez a la base aerienne.
AV-42C:av42cTheIsland:07_islandDefense:obj_11:name,A mission objective name,Drone Boats,Bateaux-drones
AV-42C:av42cTheIsland:07_islandDefense:obj_11:info,Mission objective info.,Destroy the rocket-equipped drone boats threatening the carrier.,Detruisez les bateaux-drones equipes de roquettes qui menacent le porte-avions.
AV-42C:av42cTheIsland:07_islandDefense:obj_12:name,A mission objective name,Destroy Ship Defense,Detruire la defense navale
AV-42C:av42cTheIsland:07_islandDefense:obj_12:info,Mission objective info.,Destroy the carrier group's radars and air defenses so bombers can come to help.,Detruisez les radars et les defenses aeriennes du groupe de porte-avions pour permettre l'intervention des bombardiers.
av42cTheIsland_01_preparations_b0,Text from a mission briefing.,"Negotiations for peace have failed. We believe the enemy will strike here first, as a stepping stone to the mainland.

We have begun preparing coastal air defenses.","Les negociations de paix ont echoue. Nous pensons que l’ennemi frappera ici en premier, comme un tremplin vers le continent. 

Nous avons commence a preparer la defense aerienne cotiere."
av42cTheIsland_01_preparations_b1,Text from a mission briefing.,"As an AV-42C pilot, you will deliver personnel to the defense sites.

Other pilots and soldiers will be arriving by air from the mainland soon.","En tant que pilote AV-42C, vous livrerez du personnel sur les sites de defense. 

D’autres pilotes et soldats arriveront bientot par voie aerienne depuis le continent."
av42cTheIsland_02_minesweeper_b0,Text from a mission briefing.,"As we continue to prepare our defenses against the invasive enemy forces, we need to secure supply routes from the mainland to the island.","En tant que pilote d'AV-42C, vous devrez transporter du personnel vers les sites de defense."
av42cTheIsland_02_minesweeper_b1,Text from a mission briefing.,The troops you recovered from the crash site reported that they spotted what seemed to be unmanned vessels deploying sea mines near the south east supply route.,Les troupes que vous avez recuperees sur le site du crash ont signale avoir repere ce qui semblait etre des navires sans pilote deployant des mines marines pres de la route d'approvisionnement du sud-est.
av42cTheIsland_02_minesweeper_b2,Text from a mission briefing.,"You will lead a strike group with the order of destroying all hostile targets in the designated area. 

Prepare your aircraft appropriately.","Vous dirigerez un groupe d'attaque avec pour ordre de detruire toutes les cibles hostiles dans la zone designee. 

Preparez votre avion de maniere appropriee."
av42cTheIsland_03_redirection_b0,Text from a mission briefing.,Our engineers were able to salvage the navigation computers from the drone ships and used them to determine the location of the main naval fleet of the enemy.,Nos ingenieurs ont pu recuperer les ordinateurs de navigation des navires-drones et les ont utilises pour determiner l'emplacement de la principale flotte navale ennemie.
av42cTheIsland_03_redirection_b1,Text from a mission briefing.,"We have tasked an aircraft carrier fleet to intercept before they get too close to the island. In order to maximize their force, you and other pilots are ordered to join the fleet.","Nous avons charge une flotte de porte-avions d'intercepter avant qu'ils ne s'approchent trop de l'ile. Afin de maximiser leur force, vous et d'autres pilotes etes ordonnes de rejoindre la flotte."
av42cTheIsland_03_redirection_b2,Text from a mission briefing.,"A pilot belonging to the carrier was out on combat air patrol when his navigation systems experienced a failure. The pilot is lost and low on fuel, so you must quickly find him and lead him to the fuel tanker on the way to the carrier.","Un pilote appartenant au porte-avions etait en patrouille aerienne de combat lorsque ses systemes de navigation ont connu une defaillance. Le pilote est perdu et a court de carburant, vous devez donc rapidement le trouver et le guider vers le ravitailleur en route vers le porte-avions."
av42cTheIsland_04_openWater_b0,Text from a mission briefing.,"We have intercepted the enemy fleet sooner than we expected to. They have already deployed aerial drones which are heading towards our fleet. All units are to scramble to defend the fleet, as well as quickly launch a counter-attack.",Nous avons intercepte la flotte ennemie plus tot que prevu. Ils ont deja deploye des drones aeriens qui se dirigent vers notre flotte. Toutes les unites doivent decoller en urgence pour defendre la flotte et lancer rapidement une contre-attaque.
av42cTheIsland_04_openWater_b1,Text from a mission briefing.,"The enemy force is numerous and includes small drone boats, missile cruisers, and drone carriers. This is going to get messy.

Good luck.","La force ennemie est nombreuse et comprend de petits bateaux-drones, des croiseurs lance-missiles et des porte-drones. Cela va devenir complique. 

Bonne chance."
av42cTheIsland_05_silentIsland_b0,Text from a mission briefing.,"We received an encrypted message from the island airbase which suggested that a large presence was detected coming in from the north.

After that, all communications went silent.","Nous avons recu un message crypte de la base aerienne de l'ile suggerant qu'une presence importante avait ete detectee venant du nord. 

Apres cela, toutes les communications sont devenues silencieuses."
av42cTheIsland_05_silentIsland_b1,Text from a mission briefing.,"The captain is worried that the enemy fleet we just attacked was just a diversion, and a larger enemy fleet somehow sailed to the island undetected.

We are returning to the island to investigate the radio silence.","Le capitaine de la flotte s'inquiete du fait que la flotte ennemie que nous venons d'attaquer n'etait qu'une diversion et qu'un ennemi plus important ait navigue vers l'ile sans etre detecte. 

Nous retournons sur l'ile pour enqueter sur le silence radio."
av42cTheIsland_05_silentIsland_b2,Text from a mission briefing.,"We are conserving on-board jet fuel in anticipation of responding to the potential threat, so the fighter escorts will need to refuel in the air.

Once everyone is topped off, scout the island and report back. Good luck.","Nous economisons le carbureacteur a bord en prevision de repondre a la menace potentielle, de sorte que les chasseurs d'escorte devront faire le plein en vol. 

Une fois que tout le monde est rempli, explorez l’ile et faites votre rapport. Bonne chance."
av42cTheIsland_06_darkness_b0,Text from a mission briefing.,"On the scouting sortie, a large enemy fleet was detected north of the island. The enemy has also begun landing ground units on the island.

Before we can begin to move in and take back the island, we need to eliminate the threat posed by the enemy long range missile cruiser.","Lors de la sortie de reconnaissance, une importante flotte ennemie fut detectee au nord de l'ile. L'ennemi a egalement commence a debarquer des unites terrestres sur l'ile. 

Avant de pouvoir commencer a nous deplacer et a reprendre l’ile, nous devons eliminer la menace posee par le croiseur lance-missiles ennemi a longue portee."
av42cTheIsland_06_darkness_b1,Text from a mission briefing.,"The cruiser has an array of launch tubes which we believe are capable of deploying two-stage surface-to-air and anti-ship missiles. It also has a vertical launching system defense cannons, so it may not be effective to use conventional bombs or air-to-ground missiles.","Le croiseur possede une serie de tubes de lancement dont nous pensons qu'ils sont capables de deployer des missiles sol-air et anti-navires a deux etages. Il possede egalement un systeme de defense de canons a lancement vertical, donc il pourrait ne pas etre efficace d'utiliser des bombes conventionnelles ou des missiles air-sol."
av42cTheIsland_06_darkness_b2,Text from a mission briefing.,"In order to take out the threat, we are authorizing the use of the AGM-89 anti-ship cruise missile. It has advanced features such as waypoint navigation, radar target acquisition, and a large payload. Use it wisely and destroy the high priority target.","Pour eliminer cette menace, nous autorisons l'utilisation du missile de croisiere anti-navire AGM-89. Il dispose de fonctionnalites avancees telles que la navigation par waypoint, l'acquisition de cibles radar et une charge utile importante. Utilisez-le judicieusement et detruisez la cible prioritaire."
av42cTheIsland_06_darkness_b3,Text from a mission briefing.,"The mission launches at midnight. You will be escorted by a small wing of fighters to defend you from airborne threats.

The enemy has likely deployed more self-propelled SAM units to the island, so keep an eye out for missile launches and radar locks.

Good luck.","La mission commence a minuit. Vous serez escorte par un petit groupe de chasseurs pour vous defendre contre les menaces aeriennes.

L'ennemi a probablement deploye davantage d'unites SAM autopropulsees sur l'ile, donc soyez vigilant aux lancements de missiles et aux verrouillages radar.

Bonne chance."
av42cTheIsland_07_islandDefense_b0,Text from a mission briefing.,"With the destruction of the enemy fleet's most powerful ship, we can begin an effort to take back the island.

Through the night, the enemy has continued to deploy troops and set up defenses around the island.","Avec la destruction du navire le plus puissant de la flotte ennemie, nous pouvons commencer a reprendre l'ile. 

Durant la nuit, l'ennemi a continue a deployer des troupes et a etablir des defenses autour de l'ile."
av42cTheIsland_07_islandDefense_b1,Text from a mission briefing.,"The first order is to clear out enemy units from the island airbase. Air defenses have been set up, so be prepared to use the surrounding hills for cover.

Once the airbase has been cleared, we can use it for refueling and rearming.","La premiere mission est de nettoyer les unites ennemies de la base aerienne de l'ile. Des defenses aeriennes ont ete installees, alors preparez-vous a utiliser les collines environnantes comme couverture.

Une fois la base aerienne degagee, nous pourrons l'utiliser pour le ravitaillement et le rearmement."
av42cTheIsland_07_islandDefense_b2,Text from a mission briefing.,"Once that is out of the way, we must eliminate the rest of the enemy fleet parked off the norther coast.

An allied carrier fleet is arriving from the east to support us, but are unable to launch aircraft due to enemy air defenses in the eastern city.","Une fois cela termine, nous devons eliminer le reste de la flotte ennemie stationnee au large de la cote nord.

Une flotte alliee de porte-avions arrive de l'est pour nous soutenir, mais elle ne peut pas lancer d'avions en raison des defenses aeriennes ennemies dans la ville a l'est."
av42cTheIsland_07_islandDefense_b3,Text from a mission briefing.,"Destroy the eastern air defenses to allow the allied pilots to take off, then make a combined effort to destroy the enemy fleet.

The allied fleet will also move into firing range to support with anti-ship missiles.","Detruisez les defenses aeriennes a l'est pour permettre aux pilotes allies de decoller, puis faites un effort combine pour detruire la flotte ennemie.

La flotte alliee se deplacera egalement a portee de tir pour soutenir avec des missiles anti-navires."
campaign_av42cQuickFlight_name,Name of a campaign.,Quick Flight,Vol rapide
campaign_av42cQuickFlight_description,Description of a campaign.,Quick flights and practice scenarios for the AV-42C.,Vols rapides et scenarios d'entrainement pour l'AV-42C.
av42cQuickFlight:42c_freeFlight2_name,Name of a mission.,Free Flight 2,Vol libre 2
av42cQuickFlight:42c_freeFlight2_description,Description of a mission.,Free flight on a custom map.,Vol libre sur une carte personnalisee.
av42cQuickFlight:aerialRefuelPractice_name,Name of a mission.,Aerial Refueling Practice,Entrainement au ravitaillement en vol
av42cQuickFlight:aerialRefuelPractice_description,Description of a mission.,Practice refueling in the air. Remember to lower your starting fuel.,Entrainez-vous a ravitailler en vol. N'oubliez pas de reduire votre carburant de depart.
AV-42C:av42cQuickFlight:aerialRefuelPractice:obj_0:name,A mission objective name,Refuel,Ravitaillement
AV-42C:av42cQuickFlight:aerialRefuelPractice:obj_0:info,Mission objective info.,Refuel in the air.,Ravitailler en vol.
av42cQuickFlight:carrierLanding_name,Name of a mission.,Naval Landing Practice,Entrainement a l'atterrissage naval
av42cQuickFlight:carrierLanding_description,Description of a mission.,Practice landing on the carrier or one of the cruisers.,Entrainez-vous a atterrir sur le porte-avions ou l'un des croiseurs.
AV-42C:av42cQuickFlight:carrierLanding:obj_0:name,A mission objective name,Land,Atterrir
AV-42C:av42cQuickFlight:carrierLanding:obj_0:info,Mission objective info.,Land on the carrier or one of the cruisers.,Atterrissez sur le porte-avions ou l'un des croiseurs.
av42cQuickFlight:freeFlight_name,Name of a mission.,Free Flight,Vol libre
av42cQuickFlight:freeFlight_description,Description of a mission.,No objectives or hostiles. Just fly around and have fun!,Aucun objectif ou hostile. Juste voler et s'amuser !
AV-42C:av42cQuickFlight:freeFlight:obj_0:name,A mission objective name,Free Flight,Vol libre
AV-42C:av42cQuickFlight:freeFlight:obj_0:info,Mission objective info.,"This is a free flight, however, landing on the carrier will complete the mission","C'est un vol libre, mais atterrir sur le porte-avions completera la mission."
av42cQuickFlight:targetPractice_name,Name of a mission.,Target Practice,Entrainement au tir
av42cQuickFlight:targetPractice_description,Description of a mission.,Practice using different weapons on multiple groups of non-hostile targets.,Entrainez-vous a utiliser differentes armes sur plusieurs groupes de cibles non hostiles.
AV-42C:av42cQuickFlight:targetPractice:obj_0:name,A mission objective name,Destroy Artillery,Detruire l'artillerie
AV-42C:av42cQuickFlight:targetPractice:obj_0:info,Mission objective info.,Destroy the artillery on the edge of the south-eastern city.,Detruisez l'artillerie a la peripherie de la ville du sud-est.
AV-42C:av42cQuickFlight:targetPractice:obj_1:name,A mission objective name,Destroy Infantry,Detruire l'infanterie
AV-42C:av42cQuickFlight:targetPractice:obj_1:info,Mission objective info.,Eliminate the enemy infantry squad patrolling near the hospital,Eliminez l'escouade d'infanterie ennemie patrouillant pres de l'hopital.
AV-42C:av42cQuickFlight:targetPractice:obj_2:name,A mission objective name,Destroy Convoy,Detruire le convoi
AV-42C:av42cQuickFlight:targetPractice:obj_2:info,Mission objective info.,Destroy the armored convoy moving west from the eastern city.,Detruisez le convoi blinde se dirigeant vers l'ouest depuis la ville a l'est.
AV-42C:av42cQuickFlight:targetPractice:obj_3:name,A mission objective name,Destroy Air Defense,Detruire la defense aerienne
AV-42C:av42cQuickFlight:targetPractice:obj_3:info,Mission objective info.,Destroy the air defense network on the mountain peak.,Detruisez le reseau de defense aerienne au sommet de la montagne.
AV-42C:av42cQuickFlight:targetPractice:obj_4:name,A mission objective name,Kill Enemy Strikers,Detruire les avions d'attaque ennemis
AV-42C:av42cQuickFlight:targetPractice:obj_4:info,Mission objective info.,Destroy the wing of enemy attack aircraft.,Detruisez l'escadrille d'avions d'attaque ennemis.
AV-42C:av42cQuickFlight:targetPractice:obj_5:name,A mission objective name,RTB,RTB
AV-42C:av42cQuickFlight:targetPractice:obj_5:info,Mission objective info.,Land at the airbase.,Atterrissez a la base aerienne.
av42cQuickFlight_42c_freeFlight2_b0,Text from a mission briefing.,Just fly around and have fun!,Juste voler et s'amuser !
av42cQuickFlight_42c_freeFlight2_b1,Text from a mission briefing.,A tanker is available for A2A refuelling.,Un ravitailleur est disponible pour le ravitaillement en vol.
av42cQuickFlight_42c_freeFlight2_b2,Text from a mission briefing.,Try landing on one of the ships!,Essayez d'atterrir sur l'un des navires !
av42cQuickFlight_aerialRefuelPractice_b0,Text from a mission briefing.,"Practice refueling in the air. Remember to lower your starting fuel, or else the tanker won't bother lowering the boom.","Entrainez-vous a ravitailler en vol. N'oubliez pas de reduire votre carburant de depart, sinon le ravitailleur ne baissera pas la perche."
av42cQuickFlight_carrierLanding_b0,Text from a mission briefing.,"Practice landing on the ships. For the carrier, you can land vertically or with the arrestor cables.

The carrier will be moving from east to west. Use the NAV screen on the MFD to aid you in your approach.","Entrainez-vous a atterrir sur les navires. Pour le porteur, vous pouvez atterrir verticalement ou avec les cables d'arret. 

Le transporteur se deplacera d’est en ouest. Utilisez l'ecran NAV du MFD pour vous aider dans votre approche."
av42cQuickFlight_freeFlight_b0,Text from a mission briefing.,"There are no objectives. Just fly around and have fun!

There is an aircraft carrier at sea and an aerial refueling tanker in the sky.","Il n'y a pas d'objectifs. Volez et amusez-vous ! 

Il y a un porte-avions en mer et un ravitailleur aerien dans le ciel."
av42cQuickFlight_targetPractice_b0,Text from a mission briefing.,"There are multiple groups of surface and air targets for you to practice on.

Check the waypoints and information in the Objectives MFD page.","Il y a plusieurs groupes de cibles de surface et aeriennes pour vous entrainer.

Verifiez les points de passage et les informations dans la page Objectifs du MFD."
campaign_fa26bFreeFlight_name,Name of a campaign.,Quick Flight,Vol rapide
campaign_fa26bFreeFlight_description,Description of a campaign.,Simple scenarios for the F/A-26B.,Scenarios simples pour le F/A-26B.
fa26bFreeFlight:26b_targetPractice2_name,Name of a mission.,Target Practice,Entrainement au tir
fa26bFreeFlight:26b_targetPractice2_description,Description of a mission.,Several ground and air targets to practice deploying your weapons on. Targets will not shoot back.,Plusieurs cibles terrestres et aeriennes sur lesquelles vous entrainer a deployer vos armes. Les cibles ne riposteront pas.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_0:name,A mission objective name,Moving Targets,Cibles mobiles
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_0:info,Mission objective info.,Destroy the column of vehicles crossing the bridge.,Detruisez la colonne de vehicules traversant le pont.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_1:name,A mission objective name,Artillery Targets,Cibles d'artillerie
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_1:info,Mission objective info.,Destroy the artillery targets.,Detruisez les cibles d'artillerie.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_2:name,A mission objective name,Bomber Group,Groupe de bombardiers
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_2:info,Mission objective info.,Destroy the bomber and its escorts flying at high altitude.,Detruisez le bombardier et ses escortes volant a haute altitude.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_3:name,A mission objective name,Radar Network,Reseau radar
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_3:info,Mission objective info.,Destroy the radar network around the central mountains.,Detruisez le reseau radar autour des montagnes centrales.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_4:name,A mission objective name,Attack Jets,Avions d'attaque
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_4:info,Mission objective info.,Destroy the vertical take-off attack jets coming from the FARP.,Detruisez les avions d'attaque a decollage vertical provenant du FARP.
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_5:name,A mission objective name,RTB,RTB
F/A-26B:fa26bFreeFlight:26b_targetPractice2:obj_5:info,Mission objective info.,Land at any of the airbases or aircraft carrier.,Atterrissez sur l'une des bases aeriennes ou sur le porte-avions.
fa26bFreeFlight:2v2dogfight_name,Name of a mission.,2v2 Air Combat,Combat aerien 2v2
fa26bFreeFlight:2v2dogfight_description,Description of a mission.,Take on two enemy fighters with your wingman.,Affrontez deux chasseurs ennemis avec votre ailier.
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_0:name,A mission objective name,CAP,CAP
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_0:info,Mission objective info.,Destroy the two enemy fighters.,Detruisez les deux chasseurs ennemis.
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_1:name,A mission objective name,Surprise,Surprise
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_1:info,Mission objective info.,Surprise! More fighters to kill. Where will they come from?,Surprise ! D'autres chasseurs a abattre. D'où viendront-ils ?
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_2:name,A mission objective name,Land,Atterrissage
F/A-26B:fa26bFreeFlight:2v2dogfight:obj_2:info,Mission objective info.,Land at the airbase.,Atterrissez sur la base aerienne.
fa26bFreeFlight:carrierLandingPractice_name,Name of a mission.,Carrier Landing Practice,Entrainement a l'atterrissage sur porte-avions
fa26bFreeFlight:carrierLandingPractice_description,Description of a mission.,Practice landing on the aircraft carrier.,Entrainez-vous a atterrir sur le porte-avions.
F/A-26B:fa26bFreeFlight:carrierLandingPractice:obj_0:name,A mission objective name,Land,Atterrissez
F/A-26B:fa26bFreeFlight:carrierLandingPractice:obj_0:info,Mission objective info.,Land on the carrier.,Atterrissez sur le porte-avions.
fa26bFreeFlight:FA26Difficult_name,Name of a mission.,Difficult Mission,Mission difficile
fa26bFreeFlight:FA26Difficult_description,Description of a mission.,"A variety of hostile targets to destroy. Practice using the aircraft as a fighter, a striker, or a mix of both.","Une variete de cibles hostiles a detruire. Entrainez-vous a utiliser l'avion comme chasseur, bombardier, ou un melange des deux."
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_0:name,A mission objective name,Destroy Radars 1,Detruisez les radars 1
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_0:info,Mission objective info.,Destroy the enemy fire control radars around south city.,Detruisez les radars de controle de tir ennemis autour de la ville du sud.
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_1:name,A mission objective name,Destroy Ships,Detruisez les navires
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_1:info,Mission objective info.,Destroy the naval group to the east.,Detruisez le groupe naval a l'est.
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_2:name,A mission objective name,CAP,CAP
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_2:info,Mission objective info.,Search for and destroy enemy fighters.,Recherchez et detruisez les chasseurs ennemis.
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_3:name,A mission objective name,RTB,RTB
F/A-26B:fa26bFreeFlight:FA26Difficult:obj_3:info,Mission objective info.,Return to the carrier.,Retournez au porte-avions.
fa26bFreeFlight:fa26Refuel_name,Name of a mission.,FA-26 Aerial Refuel Practice,Entrainement au ravitaillement en vol du FA-26
fa26bFreeFlight:fa26Refuel_description,Description of a mission.,Practice aerial refuelling.,Entrainez-vous au ravitaillement en vol.
F/A-26B:fa26bFreeFlight:fa26Refuel:obj_0:name,A mission objective name,Refuel,Ravitaillez
F/A-26B:fa26bFreeFlight:fa26Refuel:obj_0:info,Mission objective info.,Refuel without landing. Fuel must be below 95% for the tanker to serve.,Ravitaillez sans atterrir. Le niveau de carburant doit etre inferieur a 95% pour que le ravitailleur vous serve.
fa26bFreeFlight:Free Flight_name,Name of a mission.,Free Flight,Vol libre
fa26bFreeFlight:Free Flight_description,Description of a mission.,No enemies or objectives. Just fly around and have fun!,Aucun ennemi ou objectif. Juste voler et s'amuser !
fa26bFreeFlight:freeFlight2_name,Name of a mission.,Free Flight 2,Vol libre 2
fa26bFreeFlight:freeFlight2_description,Description of a mission.,Free flight in the twin-city bay map. No enemies or objectives.,Vol libre dans la baie des villes jumelles. Aucun ennemi ou objectif.
fa26bFreeFlight_26b_targetPractice2_b0,Text from a mission briefing.,"Various air and land targets are scattered around the area. Practice using your sensors and weapons to find and destroy the targets without worrying about them shooting back.

Several airbases and a carrier are available for you to use for rearming and refuelling if necessary.","Diverses cibles aeriennes et terrestres sont dispersees dans la zone. Entrainez-vous a utiliser vos capteurs et vos armes pour trouver et detruire les cibles sans vous soucier de leur riposte. 

Plusieurs bases aeriennes et un transporteur sont a votre disposition pour vous rearmer et faire le plein si necessaire"
fa26bFreeFlight_2v2dogfight_b0,Text from a mission briefing.,"In this scenario, you will start in the air with a wingman. Fly towards the island and take out the two enemy fighters.","Dans ce scenario, vous debuterez dans les airs avec un ailier. Volez vers l'ile et eliminez les deux combattants ennemis."
fa26bFreeFlight_carrierLandingPractice_b0,Text from a mission briefing.,"You will start in the air near the carrier. Find it, then circle around for a landing approach.","Vous debuterez dans les airs a proximite du transporteur. Trouvez-le, puis faites le tour pour une approche d’atterrissage."
fa26bFreeFlight_FA26Difficult_b0,Text from a mission briefing.,"Several enemy air, land, and naval units are scattered around the island.
Complete each of the mission objectives and return to the carrier.","
Plusieurs unites aeriennes, terrestres et navales ennemies sont dispersees autour de l'ile. 
Remplissez chacun des objectifs de la mission et retournez au transporteur."
fa26bFreeFlight_FA26Difficult_b1,Text from a mission briefing.,You may need to return to the carrier to refuel and rearm during the mission.,Vous devrez peut-etre retourner au porte-avions pour faire le plein et vous rearmer pendant la mission.
fa26bFreeFlight_fa26Refuel_b0,Text from a mission briefing.,"Practice aerial refueling with the F/A-26B. Make sure to start off with a partially empty fuel tank. Otherwise, the tanker will not lower to fuel boom.","Entrainez-vous au ravitaillement en vol avec le F/A-26B. Assurez-vous de commencer avec un reservoir de carburant partiellement vide. Sinon, le camion-citerne ne s'abaissera pas jusqu'au barrage de carburant."
fa26bFreeFlight_freeFlight2_b0,Text from a mission briefing.,Just fly around and have fun!,Volez simplement et amusez-vous !
campaign_j4Campaign_name,Name of a campaign.,July 4,4 juillet
campaign_j4Campaign_description,Description of a campaign.,Enter description...,Entrez la description...
j4Campaign:j4_name,Name of a mission.,July 4th,4 juillet
j4Campaign:j4_description,Description of a mission.,Happy Independence day!,Joyeux Jour de l'Independance !
F/A-26B:j4Campaign:j4:obj_0:name,A mission objective name,July 4,4 juillet
F/A-26B:j4Campaign:j4:obj_0:info,Mission objective info.,Defend the city from the enemy attack.,Defendez la ville contre l'attaque ennemie.
j4Campaign_j4_b0,Text from a mission briefing.,Happy Independence day!,Joyeux Jour de l'Independance !
j4Campaign_j4_b1,Text from a mission briefing.,"An unidentified flying object has been detected over the island. It appears to be giving off the same signals as those recorded near the recent attacks on mainland cities, so we're assuming hostility. Find it and destroy it at all cost.","Un objet volant non identifie a ete detecte au-dessus de l'ile. Il semble emettre les memes signaux que ceux enregistres pres des recents attaques sur les villes du continent, donc nous supposons une hostilite. Trouvez-le et detruisez-le a tout prix."
campaign_fa26-opDesertCobra_name,Name of a campaign.,Operation: Desert Cobra,Operation : Cobra du Desert
campaign_fa26-opDesertCobra_description,Description of a campaign.,A short campaign for the F/A-26B based around mountainous desert regions.,Une courte campagne pour le F/A-26B basee autour des regions desertiques montagneuses.
fa26-opDesertCobra:mission1_name,Name of a mission.,Base Defense,Defense de la Base
fa26-opDesertCobra:mission1_description,Description of a mission.,Defend the airbase supply depots from the incoming enemy attack.,Defendez les depots de ravitaillement de la base aerienne contre l'attaque ennemie entrante.
F/A-26B:fa26-opDesertCobra:mission1:obj_0:name,A mission objective name,Defend Base,Defendre la Base
F/A-26B:fa26-opDesertCobra:mission1:obj_0:info,Mission objective info.,Prevent the enemy from destroying all of the storage depots.,Empechez l'ennemi de detruire tous les depots de stockage.
F/A-26B:fa26-opDesertCobra:mission1:obj_1:name,A mission objective name,Destroy Bombers,Detruire les Bombardiers
F/A-26B:fa26-opDesertCobra:mission1:obj_1:info,Mission objective info.,Destroy bomber (HB-106) and 2 escorts (ASF-30) before they destroy the depots.,Detruisez le bombardier (HB-106) et ses 2 escortes (ASF-30) avant qu'ils ne detruisent les depots.
F/A-26B:fa26-opDesertCobra:mission1:obj_2:name,A mission objective name,Destroy Strikers,Detruire les Attaquants
F/A-26B:fa26-opDesertCobra:mission1:obj_2:info,Mission objective info.,"Destroy 3 strikers (GAV-25), 2 escorts (ASF-30) before they destroy the depots.",Detruisez 3 attaquants (GAV-25) et 2 escortes (ASF-30) avant qu'ils ne detruisent les depots.
F/A-26B:fa26-opDesertCobra:mission1:obj_3:name,A mission objective name,Destroy Artillery,Detruire l'Artillerie
F/A-26B:fa26-opDesertCobra:mission1:obj_3:info,Mission objective info.,Destroy the artillery unit before it does more damage to the depots.,Detruisez l'unite d'artillerie avant qu'elle ne cause plus de degats aux depots.
F/A-26B:fa26-opDesertCobra:mission1:obj_4:name,A mission objective name,RTB,RTB
F/A-26B:fa26-opDesertCobra:mission1:obj_4:info,Mission objective info.,Mission complete! Land back at the airbase.,Mission accomplie ! Retournez a la base aerienne.
F/A-26B:fa26-opDesertCobra:mission1:obj_5:name,A mission objective name,[Opt] Defend AWACs,[Opt] Defendre les AWACS
F/A-26B:fa26-opDesertCobra:mission1:obj_5:info,Mission objective info.,Destroy the 2 fighters (ASF-58) before they can take down our AWACs.,Detruisez les 2 chasseurs (ASF-58) avant qu'ils ne puissent abattre nos AWACS.
fa26-opDesertCobra:mission2_name,Name of a mission.,Retalliation,Represailles
